id,SalePrice
1461,122434.67752423935
1462,160112.14365126257
1463,180334.76787658947
1464,187982.07994998686
1465,189853.66972984004
1466,173880.544303999
1467,170107.37192529123
1468,166429.56548960358
1469,187724.04676291894
1470,126867.18379183194
1471,197500.70442246212
1472,92123.04116754275
1473,95181.51238993384
1474,148364.11222754332
1475,130242.92296044079
1476,353018.9349574254
1477,251482.78182761432
1478,294199.06568883854
1479,271796.1560902907
1480,446872.31019582547
1481,320771.1280458445
1482,210487.59389560984
1483,177762.96575787186
1484,167345.58812945976
1485,178793.56140052082
1486,195110.1959353879
1487,332773.3808903911
1488,229621.40063797258
1489,195421.04289882982
1490,220563.17219218978
1491,194624.95857756215
1492,91797.4026674867
1493,179254.28328012273
1494,277295.2295757925
1495,286084.2747633208
1496,239859.29601685793
1497,177197.02927975086
1498,164579.5823228666
1499,157233.29523508262
1500,153467.95744960278
1501,173492.78557215747
1502,149277.58619536253
1503,280950.14127074974
1504,234674.83694525156
1505,223541.9358710863
1506,185105.28411921315
1507,239486.74868883382
1508,198364.95416065145
1509,165913.70129399706
1510,148886.73347837562
1511,153589.9228464505
1512,179560.3883133995
1513,153480.52863494985
1514,156973.18105150145
1515,182044.16262187302
1516,165867.0230015517
1517,160049.23722547526
1518,147529.90056962977
1519,212159.39870791344
1520,132054.50308107882
1521,135924.6053483941
1522,168842.11072544093
1523,116162.38027071698
1524,123305.20104996208
1525,130694.46068585952
1526,124320.48231800468
1527,106769.94810279863
1528,127499.01845834799
1529,148721.43392285146
1530,171358.1577399421
1531,111438.0918252547
1532,94520.17091484611
1533,141994.7127076699
1534,109929.45314250168
1535,149000.45679724804
1536,108921.2856362362
1537,66149.98117822992
1538,170393.30031282135
1539,193887.01555774047
1540,107394.00805960438
1541,137658.9515310923
1542,143561.0602303142
1543,209200.5883288983
1544,90089.17150035006
1545,117222.88331508954
1546,136642.40660587838
1547,139214.03986179116
1548,132047.12318380643
1549,115997.83512237885
1550,148694.00739261555
1551,108384.74349026397
1552,135717.02068453102
1553,139506.18701760145
1554,116247.12092231766
1555,163684.21788350295
1556,94129.4921491688
1557,104322.47205645958
1558,95943.44921264103
1559,91813.50872107263
1560,159363.988919927
1561,127776.24598903685
1562,129260.77788084769
1563,119144.98656752658
1564,155877.2752185606
1565,149799.0900218552
1566,219015.56003014266
1567,76863.86498610357
1568,235275.963255535
1569,131576.7939760209
1570,131954.34967308684
1571,127248.36763689094
1572,136364.038472737
1573,239850.871867769
1574,114389.4916152157
1575,221864.74568839578
1576,216815.78956513075
1577,182221.55147006002
1578,148664.20117580393
1579,146560.6636961272
1580,191206.0828333903
1581,144119.65146262938
1582,126953.04546568662
1583,309653.9516199597
1584,222362.14525402646
1585,141024.11879185514
1586,74275.54094816443
1587,107550.6479797164
1588,151358.13855012515
1589,107067.84477880652
1590,134294.0093862818
1591,95349.87830779022
1592,114952.81872552271
1593,119140.78496012263
1594,140975.46370723992
1595,108735.34364739338
1596,207198.61213225144
1597,182862.9465572059
1598,205942.74950641557
1599,180414.25305644886
1600,173302.55920130695
1601,66130.95038830326
1602,100192.44359375771
1603,92453.64205845342
1604,273962.0407562498
1605,247212.76194407043
1606,173131.64174768576
1607,171707.80784546287
1608,212460.05183083014
1609,182610.96470235998
1610,154226.04719400711
1611,136885.3769744135
1612,172051.8325530012
1613,156348.0449361418
1614,125919.63321110775
1615,91457.46678928687
1616,81816.61005924622
1617,93889.52272388944
1618,128179.1238427299
1619,140786.90434350385
1620,160525.8054056919
1621,136097.94825948938
1622,145621.07094378184
1623,245669.25814175807
1624,209539.814214409
1625,121482.10679280003
1626,170587.2465548521
1627,186520.4133632241
1628,286514.6281809081
1629,175771.28848491123
1630,364334.02278216183
1631,226933.0018402723
1632,246874.3968218956
1633,163806.7852508104
1634,181411.19455596159
1635,178659.54276675437
1636,156422.94260316226
1637,194948.64722168946
1638,204492.52116936544
1639,181209.52288092813
1640,254699.29528922454
1641,178622.14808620317
1642,235071.4191935001
1643,227016.64068152453
1644,220306.85183924442
1645,187020.14713469826
1646,158487.52970931857
1647,163665.35265039018
1648,131095.29649746633
1649,140335.75373689824
1650,118536.69706074627
1651,123513.9890294612
1652,94847.36711359402
1653,99875.49563696326
1654,144703.62738907713
1655,148992.4940523658
1656,144008.33934823953
1657,146498.17844438585
1658,143669.89898750623
1659,132535.68997840935
1660,154418.19714714822
1661,419371.72105842753
1662,387924.40334611415
1663,377536.51154970337
1664,411789.29142706847
1665,297973.88551858265
1666,320481.52033688844
1667,371602.97771484614
1668,335832.8814069678
1669,306630.64768006833
1670,341851.47485836985
1671,265630.6030615314
1672,419983.244884207
1673,300705.2249005483
1674,245671.65084579255
1675,192398.442792106
1676,192587.11904218065
1677,212357.7382213378
1678,467997.3591839965
1679,393075.800237775
1680,326714.79457745544
1681,238845.89416253567
1682,310136.6849561752
1683,182805.25710555844
1684,169775.903039772
1685,174071.39436228955
1686,170943.2001942289
1687,167981.31654610817
1688,187149.9647477515
1689,192883.52039942142
1690,191783.37486866128
1691,180372.65690922557
1692,271197.21905719535
1693,168734.25324371472
1694,182577.83291636853
1695,162922.02200000538
1696,275113.86847407534
1697,165551.6213108057
1698,344565.23355130473
1699,283359.56400083465
1700,251107.1961873895
1701,265276.5817358111
1702,242955.910038981
1703,242609.26179159113
1704,276883.51214534545
1705,232536.9647384353
1706,372271.80070092133
1707,210225.40869798325
1708,200594.43944584153
1709,268506.34996619995
1710,215882.43419240753
1711,269694.63405831414
1712,252260.7047438379
1713,260518.63198020717
1714,213148.51148315717
1715,205765.77766812695
1716,177614.8664237258
1717,164597.46467032548
1718,128759.82986120121
1719,205375.33806560992
1720,227053.51823677515
1721,160662.30712755985
1722,120830.8235908886
1723,159020.42170534897
1724,190397.66872820735
1725,239226.59919433284
1726,179466.1354450156
1727,160085.64817796642
1728,173424.84183146877
1729,165381.13808555715
1730,162095.50311777968
1731,125997.03375799664
1732,133955.02023527652
1733,116912.44373697508
1734,126152.0347674512
1735,128276.62468764848
1736,116645.55088253337
1737,293954.5331425656
1738,214126.3532641372
1739,249884.15461362095
1740,200169.68820762524
1741,179032.0460437138
1742,171597.01808422685
1743,173591.0367259973
1744,270126.4867666213
1745,223117.39050123596
1746,199295.96902384708
1747,212346.38903742304
1748,209906.59964579815
1749,153585.2916407675
1750,132491.61553004588
1751,224385.39731231143
1752,119909.8053333475
1753,148797.6363118839
1754,200944.45168995945
1755,167414.31535580195
1756,132207.64102708022
1757,124276.74540653662
1758,145039.79815270274
1759,169198.38609362807
